iter	RMSE
0	0.4088645948
1	0.3929253945
2	0.3776789206
3	0.3634547374
4	0.34980732
5	0.3369834359
6	0.3247992361
7	0.3132524772
8	0.3025556811
9	0.2923858846
10	0.2827874453
11	0.2739234074
12	0.2653359494
13	0.2573876105
14	0.2499512447
15	0.2429289257
16	0.2362743739
17	0.2301459526
18	0.2243155822
19	0.2189375629
20	0.2138709791
21	0.2090727185
22	0.2045900523
23	0.2004124853
24	0.1964589844
25	0.1928086949
26	0.1893029519
27	0.186076508
28	0.1830553213
29	0.1803071105
30	0.1776928616
31	0.1752349834
32	0.1729687557
33	0.1708315774
34	0.1688829087
35	0.1669249152
36	0.165144424
37	0.1635429586
38	0.1619733456
39	0.1605136475
40	0.159188292
41	0.1577888951
42	0.1566171597
43	0.1554694637
44	0.1544657484
45	0.1535135184
46	0.1525751166
47	0.1517407882
48	0.1508180153
49	0.1500559078
50	0.149261601
51	0.1484550511
52	0.1478059557
53	0.1471930386
54	0.1466169133
55	0.1460401215
56	0.1455262534
57	0.1450376482
58	0.1445594287
59	0.1440965298
60	0.1436262541
61	0.1432297995
62	0.1427994974
63	0.1424381225
64	0.1420906332
65	0.1417267232
66	0.1414084437
67	0.140978414
68	0.1407033467
69	0.1402075823
70	0.1399409718
71	0.1396813926
72	0.1394488988
73	0.1392239843
74	0.1387849991
75	0.1384148617
76	0.1381958493
77	0.1379825564
78	0.1375763942
79	0.1373609303
80	0.1370021474
81	0.1367117173
82	0.1365087508
83	0.1362150718
84	0.1360242203
85	0.1357613658
86	0.1355973997
87	0.1354365831
88	0.1352640417
89	0.1350169289
90	0.1348798756
91	0.134597662
92	0.1343726093
93	0.1341490009
94	0.1340090858
95	0.1338514244
96	0.1337214477
97	0.1335371127
98	0.1333606336
99	0.133246241
100	0.1330898589
101	0.1329253864
102	0.132780676
103	0.1326767169
104	0.1325096675
105	0.1323893434
106	0.1321149498
107	0.1318622762
108	0.1315985978
109	0.1315013779
110	0.1313161264
111	0.131165028
112	0.1309788431
113	0.1307869691
114	0.1306531274
115	0.1304851704
116	0.1303787783
117	0.1302239113
118	0.130073907
119	0.129967973
120	0.1298615597
121	0.1297748003
122	0.1297038746
123	0.1296153302
124	0.12948826
125	0.1293131896
126	0.1292153486
127	0.1291343864
128	0.1289762623
129	0.1288467403
130	0.128768017
131	0.1286859786
132	0.1285699861
133	0.1284301669
134	0.1283558171
135	0.1282951043
136	0.1281464413
137	0.1280065402
138	0.1279353936
139	0.1278518868
140	0.127755924
141	0.1276840985
142	0.1276213358
143	0.1275546795
144	0.1274026254
145	0.1273369492
146	0.1272647329
147	0.1271887236
148	0.1270973076
149	0.1270076619
150	0.1269232579
151	0.1268528602
152	0.1267859854
153	0.1266953073
154	0.1265726485
155	0.1264944348
156	0.1264449598
157	0.1264078357
158	0.1263296723
159	0.1262757098
160	0.1262175624
161	0.1261163619
162	0.12604359
163	0.1259712954
164	0.1258605288
165	0.1257903371
166	0.1257388243
167	0.1256895591
168	0.1256354171
169	0.1255399332
170	0.1254474735
171	0.1254181473
172	0.1253791252
173	0.1253132128
174	0.1252632426
175	0.1251835301
176	0.1250860447
177	0.1250193094
178	0.1249560365
179	0.1249179691
180	0.1248401268
181	0.1247468206
182	0.1247061677
183	0.1245929883
184	0.1245143655
185	0.1244612442
186	0.124415966
187	0.1243490507
188	0.1242940341
189	0.1242400847
190	0.1241754033
191	0.1241199928
192	0.1240717388
193	0.1240365391
194	0.1239573877
195	0.1239263918
196	0.1238610235
197	0.1237921722
198	0.1236814679
199	0.123653521
200	0.1235916584
201	0.1235571649
202	0.1235039241
203	0.1234623611
204	0.1234351424
205	0.123397587
206	0.1233508552
207	0.1233031204
208	0.1232664964
209	0.1232180936
210	0.1231755839
211	0.1231352732
212	0.1230902755
213	0.1230032364
214	0.1229402167
215	0.1229000087
216	0.1228503152
217	0.1227993586
218	0.1227223365
219	0.1226724638
220	0.1225827991
221	0.1225349153
222	0.1224939775
223	0.1224525337
224	0.1224087447
225	0.1223663818
226	0.1223425951
227	0.1223174544
228	0.122263925
229	0.1222256797
230	0.1221417781
231	0.1221009537
232	0.1220567323
233	0.1220354153
234	0.1220157932
235	0.12197533
236	0.1219251744
237	0.1218902632
238	0.1218608749
239	0.1218239007
240	0.1217946954
241	0.1217662426
242	0.1217291497
243	0.12169366
244	0.121634396
245	0.1215874597
246	0.1215665466
247	0.1215226826
248	0.1214974169
249	0.1214425509
250	0.1214112306
251	0.1213440766
252	0.1213036211
253	0.1212708274
254	0.1212537745
255	0.1212162465
256	0.1211605902
257	0.1211361845
258	0.1211046446
259	0.1210528794
260	0.1210143413
261	0.120984189
262	0.1209544916
263	0.120932278
264	0.1209084692
265	0.1208716868
266	0.1208148052
267	0.1207734809
268	0.1207465676
269	0.1207110168
270	0.1206503207
271	0.1206214095
272	0.120607103
273	0.1205810074
274	0.1205372645
275	0.1205021513
276	0.1204753881
277	0.1204124757
278	0.1203890949
279	0.120336809
280	0.1202789718
281	0.1202293759
282	0.1201965826
283	0.1201757067
284	0.1201325238
285	0.1201166371
286	0.1200863137
287	0.1200675358
288	0.1200198947
289	0.1200083566
290	0.1199698579
291	0.1199333368
292	0.1198940165
293	0.1198574547
294	0.1198088571
295	0.1197783874
296	0.1197626645
297	0.1196993466
298	0.1196821073
299	0.1196407793
300	0.1196150639
301	0.1195939365
302	0.1195687406
303	0.1195369278
304	0.1194935728
305	0.119462034
306	0.1194415597
307	0.1194077008
308	0.1193360632
309	0.1193204171
310	0.1192836822
311	0.1192565902
312	0.1192296825
313	0.1192032347
314	0.1191832674
315	0.1191625747
316	0.1190966912
317	0.1190372912
318	0.1190262436
319	0.1189965089
320	0.118976738
321	0.1189463054
322	0.1189147165
323	0.1188932144
324	0.1188498728
325	0.1188263724
326	0.1188013834
327	0.1187817428
328	0.1187581338
329	0.1187303961
330	0.1187053367
331	0.1186807162
332	0.1186634509
333	0.1186366214
334	0.1185761251
335	0.1185447392
336	0.118515685
337	0.118487517
338	0.118429835
339	0.1184175962
340	0.1183978259
341	0.1183835322
342	0.1183628066
343	0.1183349183
344	0.1183151041
345	0.1182931875
346	0.1182684673
347	0.118250927
348	0.1182279983
349	0.1182144107
350	0.1181852179
351	0.1181706484
352	0.1181470285
353	0.1181208971
354	0.1180892523
355	0.1180523771
356	0.1180331847
357	0.1180081319
358	0.1179825636
359	0.1179532812
360	0.1179222161
361	0.1179044422
362	0.1178817296
363	0.1178643166
364	0.1178379962
365	0.1178208908
366	0.1178022993
367	0.1177750487
368	0.1177202186
369	0.1176694136
370	0.1176348966
371	0.1175862772
372	0.1175745234
373	0.1175351146
374	0.1175196633
