iter	Passed	Remaining
0	244	121975
1	327	81553
2	419	69573
3	512	63601
4	618	61211
5	709	58432
6	793	55881
7	882	54253
8	1013	55275
9	1131	55427
10	1242	55232
11	1378	56061
12	1495	56020
13	1619	56223
14	1722	55707
15	1814	54884
16	1904	54103
17	1996	53462
18	2087	52853
19	2176	52239
20	2273	51846
21	2357	51223
22	2444	50695
23	2534	50264
24	2618	49742
25	2695	49149
26	2767	48483
27	2844	47943
28	2933	47644
29	3004	47071
30	3079	46589
31	3211	46967
32	3282	46451
33	3349	45910
34	3419	45425
35	3486	44942
36	3563	44594
37	3645	44319
38	3724	44028
39	3799	43689
40	3890	43557
41	3976	43360
42	4063	43184
43	4144	42956
44	4283	43315
45	4363	43067
46	4496	43338
47	4574	43075
48	4649	42794
49	4726	42534
50	4803	42287
51	4874	41996
52	4958	41822
53	5043	41659
54	5117	41402
55	5198	41217
56	5276	41010
57	5362	40863
58	5441	40676
59	5519	40476
60	5603	40329
61	5684	40161
62	5767	40009
63	5855	39889
64	5935	39723
65	6015	39554
66	6095	39395
67	6172	39216
68	6247	39026
69	6327	38870
70	6417	38773
71	6499	38637
72	6582	38502
73	6657	38325
74	6735	38170
75	6812	38009
76	6902	37920
77	6983	37781
78	7063	37643
79	7155	37564
80	7236	37434
81	7314	37288
82	7396	37161
83	7482	37056
84	7562	36923
85	7638	36769
86	7718	36638
87	7794	36493
88	7886	36420
89	7956	36244
90	8043	36152
91	8127	36044
92	8204	35905
93	8284	35780
94	8365	35664
95	8453	35576
96	8555	35542
97	8629	35397
98	8728	35352
99	8818	35273
100	8898	35152
101	8972	35011
102	9056	34906
103	9133	34776
104	9216	34671
105	9316	34627
106	9396	34510
107	9472	34381
108	9548	34252
109	9629	34139
110	9699	33993
111	9781	33884
112	9853	33745
113	9922	33598
114	9992	33451
115	10062	33309
116	10135	33179
117	10213	33064
118	10289	32944
119	10374	32852
120	10455	32747
121	10541	32662
122	10615	32537
123	10696	32435
124	10762	32286
125	10832	32155
126	10898	32008
127	10969	31880
128	11041	31755
129	11101	31597
130	11171	31468
131	11248	31358
132	11320	31238
133	11393	31118
134	11470	31013
135	11544	30899
136	11618	30785
137	11689	30662
138	11760	30543
139	11838	30441
140	11915	30338
141	11999	30251
142	12058	30104
143	12134	29998
144	12214	29903
145	12283	29783
146	12366	29696
147	12441	29591
148	12502	29452
149	12567	29323
150	12629	29190
151	12699	29074
152	12792	29013
153	12865	28905
154	12939	28801
155	13013	28695
156	13087	28592
157	13163	28492
158	13327	28582
159	13405	28486
160	13472	28366
161	13542	28255
162	13615	28149
163	13688	28045
164	13762	27942
165	13828	27823
166	13902	27722
167	13980	27627
168	14057	27532
169	14119	27408
170	14189	27299
171	14252	27178
172	14316	27060
173	14394	26969
174	14461	26857
175	14522	26734
176	14595	26634
177	14665	26530
178	14728	26411
179	14795	26303
180	14863	26195
181	14932	26090
182	14997	25979
183	15075	25889
184	15142	25783
185	15208	25674
186	15279	25574
187	15351	25477
188	15418	25371
189	15483	25262
190	15548	25154
191	15612	25044
192	15694	24965
193	15764	24865
194	15829	24759
195	15901	24663
196	15971	24565
197	16040	24465
198	16106	24361
199	16168	24252
200	16232	24146
201	16297	24042
202	16365	23943
203	16442	23857
204	16525	23780
205	16617	23715
206	16690	23624
207	16767	23538
208	16841	23449
209	16930	23380
210	17023	23316
211	17129	23270
212	17211	23191
213	17293	23111
214	17364	23017
215	17482	22986
216	17564	22906
217	17628	22804
218	17710	22724
219	17779	22628
220	17852	22537
221	17931	22454
222	18003	22362
223	18080	22277
224	18163	22199
225	18241	22116
226	18313	22024
227	18377	21924
228	18448	21831
229	18513	21733
230	18594	21653
231	18662	21557
232	18733	21467
233	18799	21370
234	18872	21281
235	18938	21185
236	19016	21103
237	19092	21017
238	19164	20928
239	19226	20829
240	19295	20736
241	19376	20657
242	19447	20567
243	19515	20475
244	19591	20391
245	19665	20304
246	19732	20211
247	19803	20122
248	19869	20029
249	19953	19953
250	20015	19856
251	20083	19764
252	20152	19674
253	20221	19584
254	20278	19483
255	20340	19387
256	20411	19300
257	20532	19259
258	20607	19175
259	20673	19083
260	20741	18992
261	20801	18896
262	20931	18861
263	20999	18771
264	21077	18691
265	21152	18607
266	21225	18523
267	21294	18434
268	21372	18353
269	21443	18267
270	21512	18178
271	21579	18088
272	21637	17991
273	21706	17904
274	21795	17832
275	21858	17740
276	21937	17660
277	22007	17574
278	22070	17482
279	22145	17399
280	22213	17312
281	22285	17227
282	22359	17145
283	22422	17053
284	22506	16978
285	22568	16887
286	22636	16799
287	22699	16709
288	22774	16627
289	22843	16542
290	22910	16454
291	22987	16374
292	23066	16295
293	23135	16210
294	23207	16127
295	23275	16040
296	23341	15953
297	23413	15870
298	23476	15782
299	23560	15707
300	23625	15619
301	23698	15537
302	23766	15452
303	23833	15366
304	23904	15283
305	23981	15203
306	24051	15120
307	24119	15035
308	24195	14955
309	24255	14866
310	24330	14786
311	24395	14700
312	24458	14612
313	24529	14530
314	24606	14451
315	24678	14369
316	24758	14292
317	24833	14213
318	24898	14127
319	24965	14043
320	25041	13964
321	25109	13880
322	25191	13804
323	25265	13724
324	25356	13653
325	25431	13573
326	25500	13491
327	25566	13407
328	25644	13328
329	25717	13248
330	25791	13168
331	25853	13082
332	25915	12996
333	25992	12918
334	26070	12840
335	26152	12764
336	26227	12685
337	26296	12603
338	26371	12524
339	26440	12442
340	26503	12358
341	26577	12278
342	26643	12195
343	26711	12113
344	26785	12033
345	26857	11953
346	26918	11869
347	26994	11790
348	27060	11708
349	27129	11626
350	27197	11545
351	27263	11463
352	27333	11382
353	27401	11301
354	27472	11221
355	27554	11145
356	27623	11064
357	27686	10981
358	27757	10901
359	27829	10822
360	27908	10746
361	27985	10668
362	28049	10586
363	28121	10506
364	28195	10428
365	28260	10346
366	28342	10271
367	28420	10194
368	28498	10117
369	28579	10041
370	28649	9961
371	28727	9884
372	28793	9803
373	28869	9726
374	28947	9649
375	29023	9571
376	29092	9491
377	29167	9413
378	29243	9336
379	29316	9257
380	29381	9177
381	29460	9100
382	29551	9027
383	29634	8952
384	29707	8873
385	29780	8795
386	29849	8715
387	29915	8635
388	29994	8558
389	30067	8480
390	30133	8400
391	30196	8319
392	30276	8243
393	30342	8163
394	30422	8086
395	30495	8008
396	30561	7929
397	30621	7847
398	30690	7768
399	30764	7691
400	30837	7613
401	30910	7535
402	30986	7458
403	31063	7381
404	31137	7303
405	31211	7226
406	31288	7149
407	31368	7073
408	31439	6995
409	31511	6917
410	31584	6839
411	31656	6761
412	31726	6683
413	31798	6605
414	31880	6529
415	31960	6453
416	32029	6375
417	32096	6296
418	32158	6216
419	32226	6138
420	32299	6061
421	32362	5981
422	32434	5904
423	32510	5827
424	32577	5749
425	32649	5671
426	32717	5593
427	32778	5514
428	32848	5436
429	32916	5358
430	32987	5281
431	33111	5212
432	33185	5134
433	33249	5056
434	33328	4980
435	33389	4901
436	33464	4824
437	33533	4746
438	33601	4668
439	33680	4592
440	33759	4516
441	33836	4440
442	33910	4363
443	33976	4285
444	34052	4208
445	34127	4131
446	34196	4054
447	34271	3977
448	34346	3901
449	34422	3824
450	34499	3748
451	34573	3671
452	34652	3595
453	34720	3517
454	34794	3441
455	34875	3365
456	34958	3289
457	35033	3212
458	35102	3135
459	35173	3058
460	35247	2981
461	35316	2904
462	35394	2828
463	35458	2751
464	35536	2674
465	35609	2598
466	35681	2521
467	35760	2445
468	35841	2369
469	35921	2292
470	35996	2216
471	36075	2140
472	36169	2064
473	36248	1988
474	36329	1912
475	36414	1836
476	36511	1760
477	36593	1684
478	36674	1607
479	36751	1531
480	36830	1454
481	36912	1378
482	36988	1301
483	37067	1225
484	37156	1149
485	37231	1072
486	37313	996
487	37388	919
488	37477	843
489	37572	766
490	37668	690
491	37756	613
492	37843	537
493	37932	460
494	38021	384
495	38141	307
496	38236	230
497	38329	153
498	38407	76
499	38497	0
